Species,Species_gbif,Sample Number,Code,Collected,Ethanol,Dried,Scanned,Dried-2,Weighed,Weight_g
Phalaris arundinacea,Phalaris arundinacea,1,pha_aru_1,yes,yes,yes,yes,yes,yes,0.0055
Phalaris arundinacea,Phalaris arundinacea,2,pha_aru_2,yes,yes,yes,yes,yes,yes,0.0052
Phalaris arundinacea,Phalaris arundinacea,3,pha_aru_3,yes,yes,yes,yes,yes,yes,0.0109
Phalaris arundinacea,Phalaris arundinacea,4,pha_aru_4,yes,yes,yes,yes,yes,yes,0.0094
Phalaris arundinacea,Phalaris arundinacea,5,pha_aru_5,yes,yes,yes,yes,yes,yes,0.0147
Phalaris arundinacea,Phalaris arundinacea,6,pha_aru_6,yes,yes,yes,yes,yes,yes,0.0104
Phalaris arundinacea,Phalaris arundinacea,7,pha_aru_7,yes,yes,yes,yes,yes,yes,0.0227
Taraxacum officinale,Taraxacum officinale,1,tar_off_1,yes,yes,yes,yes,yes,yes,0.0071
Taraxacum officinale,Taraxacum officinale,2,tar_off_2,yes,yes,yes,yes,yes,yes,0.0035
Taraxacum officinale,Taraxacum officinale,3,tar_off_3,yes,yes,yes,yes,yes,yes,0.0012
Taraxacum officinale,Taraxacum officinale,4,tar_off_4,yes,yes,yes,yes,yes,yes,0.003
Taraxacum officinale,Taraxacum officinale,5,tar_off_5,yes,yes,yes,yes,yes,yes,0.0037
Taraxacum officinale,Taraxacum officinale,6,tar_off_6,yes,yes,yes,yes,yes,yes,0.0045
Taraxacum officinale,Taraxacum officinale,7,tar_off_7,yes,yes,yes,yes,yes,yes,0.003
Artemisia campestris,Artemisia campestris,1,art_cam_1,yes,yes,yes,yes,yes,yes,0.0054
Artemisia campestris,Artemisia campestris,2,art_cam_2,yes,yes,yes,yes,yes,yes,0.0043
Juncus inflexus,Juncus inflexus,1,jun_inf_1,yes,yes,yes,yes,yes,yes,0.0056
Juncus inflexus,Juncus inflexus,2,jun_inf_2,yes,yes,yes,yes,yes,yes,0.0011
Juncus inflexus,Juncus inflexus,3,jun_inf_3,yes,yes,yes,yes,yes,yes,0.0107
Juncus inflexus,Juncus inflexus,4,jun_inf_4,yes,yes,yes,yes,yes,yes,0.0053
Juncus inflexus,Juncus inflexus,5,jun_inf_5,yes,yes,yes,yes,yes,yes,0.0108
Petunia axillaris,Petunia axillaris,1,pet_axi_1,yes,yes,yes,yes,yes,yes,0.0037
Petunia axillaris,Petunia axillaris,2,pet_axi_2,yes,yes,yes,yes,yes,yes,0.0045
Petunia axillaris,Petunia axillaris,3,pet_axi_3,yes,yes,yes,yes,yes,yes,0.0029
Petunia axillaris,Petunia axillaris,4,pet_axi_4,yes,yes,yes,yes,yes,yes,0.0069
Petunia axillaris,Petunia axillaris,5,pet_axi_5,yes,yes,yes,yes,yes,yes,0.0038
Thermopsis montana,Thermopsis montana,1,the_mon_1,yes,yes,yes,yes,yes,yes,0.0332
Thermopsis montana,Thermopsis montana,2,the_mon_2,yes,yes,yes,yes,yes,yes,0.0341
Thermopsis montana,Thermopsis montana,3,the_mon_3,yes,yes,yes,yes,yes,yes,0.0335
Thermopsis montana,Thermopsis montana,4,the_mon_4,yes,yes,yes,yes,yes,yes,0.0324
Thermopsis montana,Thermopsis montana,5,the_mon_5,yes,yes,yes,yes,yes,yes,0.0617
Carex otrubae,Carex otrubae,1,car_otr_1,yes,yes,yes,yes,yes,yes,0.0028
Carex otrubae,Carex otrubae,2,car_otr_2,yes,yes,yes,yes,yes,yes,0.0115
Carex otrubae,Carex otrubae,3,car_otr_3,yes,yes,yes,yes,yes,yes,0.0079
Carex otrubae,Carex otrubae,4,car_otr_4,yes,yes,yes,yes,yes,yes,0.0081
Carex otrubae,Carex otrubae,5,car_otr_5,yes,yes,yes,yes,yes,yes,0.0109
Pontechium maculatum,Pontechium maculatum,1,pon_mac_1,yes,yes,yes,yes,yes,yes,0.003
Pontechium maculatum,Pontechium maculatum,2,pon_mac_2,yes,yes,yes,yes,yes,yes,0.0009
Pontechium maculatum,Pontechium maculatum,3,pon_mac_3,yes,yes,yes,yes,yes,yes,0.0013
Pontechium maculatum,Pontechium maculatum,4,pon_mac_4,yes,yes,yes,yes,yes,yes,0.0018
Pontechium maculatum,Pontechium maculatum,5,pon_mac_5,yes,yes,yes,yes,yes,yes,0.0026
