file_name,ROI,root_tips,branch_points,length_mm,branching_freq_mm-1,network_area_mm2,mean_diameter_mm,median_diameter_mm,max_diameter_mm,perimeter_mm,volume_mm3,SA_mm2
pan_vir_3.jpg,roi_2,148,162,323.971,0.5,167.358,0.644,0.599,1.933,521.467,137.932,663.516
rud_hir_5.jpg,roi_2,60,90,231.222,0.389,84.996,0.436,0.379,1.355,408.792,46.041,317.464
rud_hir_7.jpg,roi_2,47,53,171.157,0.31,38.235,0.259,0.239,0.728,323.232,11.145,139.092
rum_ace_3.jpg,roi_2,93,149,388.999,0.383,150.826,0.46,0.339,1.481,685.337,98.521,567.377
rum_ace_4.jpg,roi_2,141,209,404.093,0.517,137.41,0.415,0.379,1.863,693.138,81.279,531.093
sch_sco_5.jpg,roi_2,150,204,423.787,0.481,182.768,0.564,0.423,2.083,684.374,163.511,755.183
sch_sco_6.jpg,roi_2,164,220,398.732,0.552,138.573,0.439,0.359,1.365,657.199,84.078,553.142
sol_can_1.jpg,roi_2,101,151,390.653,0.387,169.639,0.541,0.494,2.142,661.88,122.237,660.999
sol_can_2.jpg,roi_2,131,239,592.635,0.403,234.826,0.495,0.423,2.032,997.244,153.301,918.347
sol_can_4.jpg,roi_2,165,239,586.036,0.408,256.849,0.547,0.494,1.743,977.586,186.786,1007.778
ach_asp_2.jpg,roi_2,193,289,476.3,0.607,183.842,0.509,0.432,2.386,756.624,140.335,763.074
ach_asp_3.jpg,roi_2,108,158,406.286,0.389,238.279,0.706,0.677,1.984,673.267,195.734,907.257
art_cam_1.jpg,roi_2,66,92,224.821,0.409,116.878,0.633,0.593,1.5,370.622,94.977,452.867
art_cam_2.jpg,roi_2,29,29,232.871,0.125,134.729,0.64,0.599,1.447,441.697,87.207,467.209
car_otr_1.jpg,roi_2,292,588,539.208,1.09,98.79,0.285,0.189,1.365,806.316,53.358,474.813
cri_moo_6.jpg,roi_2,70,70,250.725,0.279,210.779,1.006,1.061,2.201,421.049,241.234,799.257
cri_moo_7.jpg,roi_2,102,112,339.786,0.33,256.232,0.911,0.872,2.083,558.798,262.568,977.767
equ_hym_1.jpg,roi_2,178,250,484.59,0.516,180.648,0.486,0.423,1.964,783.68,123.157,738.375
equ_hym_6.jpg,roi_2,388,562,817.18,0.688,263.906,0.435,0.379,1.762,1262.808,166.876,1120.502
geu_tri_1.jpg,roi_2,110,199,437.402,0.455,207.109,0.608,0.494,2.007,698.253,191.022,844.285
geu_tri_4.jpg,roi_2,323,557,870.554,0.64,294.774,0.462,0.359,2.547,1370.43,227.267,1260.052
geu_tri_6.jpg,roi_2,189,339,633.737,0.535,239.345,0.524,0.379,2.965,997.703,233.045,1036.646
