Code,file_name,ROI,root_tips,branch_points,length_mm,branching_freq_mm-1,network_area_mm2,mean_diameter_mm,median_diameter_mm,max_diameter_mm,perimeter_mm,volume_mm3,SA_mm2,Species,Species_gbif,Sample Number,Collected,Ethanol,Dried,Scanned,Dried-2,Weighed,Weight_g,Stained,Mounted,mycorrhizal_colonization,coll_location,hair_length_raw,hair_density_raw,hair_factor,Location,weight,percent_N,d_15N,percent_C,d_13C
cha_lat_7,cha_lat_7.jpg,roi_2,271,409,630.348,0.649,237.261,0.597,0.423,2.803,865.283,304.28,1186.533,Chasmanthium latifolium,Chasmanthium latifolium,7,yes,yes,yes,yes,yes,yes,0.0253,yes,yes,61,field,0,0,0,1 F6,1939,1.19,0.63,42.67,-23.66
cri_moo_1,cri_moo_1.jpg,roi_2,73,89,294.415,0.302,183.623,0.743,0.677,1.947,502.365,158.334,690.448,Crinum moorei,Crinum moorei,1,yes,yes,yes,yes,yes,yes,0.0038,yes,yes,93,field,37,3,111,2 C12,1913.5,2.69,1.15,34.58,-26.76
cri_moo_2,cri_moo_2.jpg,roi_2,114,120,356.068,0.337,274.772,0.975,0.799,3.294,570.122,351.799,1098.787,Crinum moorei,Crinum moorei,2,yes,yes,yes,yes,yes,yes,0.0053,yes,yes,69,field,0,0,0,2 D1,1952,2.71,1.12,34.64,-26.84
cri_moo_3,cri_moo_3.jpg,roi_2,160,162,453.713,0.357,342.053,0.945,0.803,2.626,719.451,409.616,1355.687,Crinum moorei,Crinum moorei,3,yes,yes,yes,yes,yes,yes,0.0033,yes,yes,89,field,0,0,0,2 E11,1915.5,2.75,0.96,34.77,-26.75
cri_moo_4,cri_moo_4.jpg,roi_2,110,118,342.774,0.344,234.184,0.836,0.781,2.49,563.515,221.315,907.12,Crinum moorei,Crinum moorei,4,yes,yes,yes,yes,yes,yes,0.0035,yes,yes,88,field,0,0,0,2 E5,2045.5,2.68,1.22,33.52,-26.73
cri_moo_5,cri_moo_5.jpg,roi_2,103,113,341.962,0.33,259.292,0.947,0.912,2.715,543.92,285.046,1028.001,Crinum moorei,Crinum moorei,5,yes,yes,yes,yes,yes,yes,0.0061,yes,yes,97,field,45,1,45,2 F1,2162.5,2.93,1.14,35.71,-26.77
cri_moo_6,cri_moo_6.jpg,roi_2,70,70,250.725,0.279,210.779,1.006,1.061,2.201,421.049,241.234,799.257,Crinum moorei,Crinum moorei,6,yes,yes,yes,yes,yes,yes,0.0036,yes,yes,52,field,0,0,0,2 D7,2128.5,2.66,1.03,34.48,-26.78
cri_moo_7,cri_moo_7.jpg,roi_2,102,112,339.786,0.33,256.232,0.911,0.872,2.083,558.798,262.568,977.767,Crinum moorei,Crinum moorei,7,yes,yes,yes,yes,yes,yes,0.0051,yes,yes,99,field,84,2,168,2 E4,2101.5,2.8,0.99,35.25,-26.75
dor_rec_1,dor_rec_1.jpg,roi_8,60,62,243.19,0.255,239.503,1.223,1.314,3.161,388.51,351.146,938.416,Dorycnium rectum,Lotus rectus,1,yes,yes,yes,yes,yes,yes,0.0338,yes,yes,NA,field,6,22,132,3 D8,1878.5,1.89,-0.02,43.55,-27.46
dor_rec_2,dor_rec_2.jpg,roi_8,87,83,205.169,0.405,142.254,0.972,0.847,3.676,303.485,226.776,629.661,Dorycnium rectum,Lotus rectus,2,yes,yes,yes,yes,yes,yes,0.0121,yes,yes,NA,field,5,24,120,3 F7,1807.5,1.81,-0.01,44.94,-27.46
