species_author,Family,Order,Superorder,Group,Sample_reference_code,Life_cycle_habit,Plant_growth_habit,C (%),S (%),R (%),CSR,Color_values,growth_habit_grey,growth_habit_color,Growth_habit_symbol
Psychotria deflexa DC.,Rubiaceae,Gentianales,Asteranae,Dicot,Wright,perennial,shrub,39.61,31.88,28.5,CSR,"@rgb(101,81,73)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
Psychotria graciliflora Benth.,Rubiaceae,Gentianales,Asteranae,Dicot,Wright,perennial,shrub,19.64,21.47,58.89,R/CSR,"@rgb(50,55,150)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
Psychotria grandis Sw.,Rubiaceae,Gentianales,Asteranae,Dicot,Wright,perennial,tree,75.42,11.64,12.93,C/CR,"@rgb(192,30,33)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Psychotria horizontalis Sw.,Rubiaceae,Gentianales,Asteranae,Dicot,Wright,perennial,shrub,43.14,39.92,16.94,CS/CSR,"@rgb(110,102,43)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
Psychotria limonensis K. Krause,Rubiaceae,Gentianales,Asteranae,Dicot,Wright,perennial,tree,78.85,0.89,20.26,C/CR,"@rgb(201,2,52)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Psychotria marginata Sw.,Rubiaceae,Gentianales,Asteranae,Dicot,Wright,perennial,shrub,50.8,32.94,16.26,C/CSR,"@rgb(130,84,41)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
Psychotria pittieri Standl.,Rubiaceae,Gentianales,Asteranae,Dicot,Wright,perennial,shrub,29.02,36.86,34.12,CSR,"@rgb(74,94,87)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
Psychotria racemosa Rich.,Rubiaceae,Gentianales,Asteranae,Dicot,Wright,perennial,shrub,47.2,22.99,29.81,C/CSR,"@rgb(120,59,76)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
Psychotria tenuifolia Sw.,Rubiaceae,Gentianales,Asteranae,Dicot,Wright,perennial,shrub,52.22,33.01,14.76,C/CSR,"@rgb(133,84,38)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
Pteridium aquilinum (L.) Kuhn,Dennstaedtiaceae,Polypodiales,,Fern,Díaz,perennial,forb,80.89,13.36,5.75,C,"@rgb(206,34,15)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Pteris cretica L.,Pteridaceae,Polypodiales,,Fern,Cerabolini,perennial,forb,63.03,16.37,20.61,C/CSR,"@rgb(161,42,53)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Pterocarpus rohrii Vahl,Fabaceae,Fabales,Rosanae,Dicot,Wright,perennial,tree,57.28,20.9,21.81,C/CSR,"@rgb(146,53,56)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Ptychopyxis costata Miq.  ,Euphorbiaceae,Malpighiales,Rosanae,Dicot,SJ Wright Pasoh,perennial,tree,43.2,51.74,5.06,CS,"@rgb(110,132,13)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Puccinellia distans (Jacq.) Parl.,Poaceae,Poales,Lilianae,Monocot,Díaz,perennial,graminoid,12.33,16.14,71.53,R/SR,"@rgb(31,41,182)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
Puccinellia maritima (Huds.) Parl.,Poaceae,Poales,Lilianae,Monocot,Kleyer,perennial,graminoid,0,39.45,60.55,SR,"@rgb(0,101,154)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
Pueraria lobata (Willd.) Ohwi,Fabaceae,Fabales,Rosanae,Dicot,Cerabolini/Pierce,perennial,liana,61.86,20.48,17.66,C/CSR,"@rgb(158,52,45)","@rgb(128,128,128)","@rgb(128,128,128)","@symbol(3,512,0)"
Pulicaria vulgaris Gaertn.,Asteraceae,Asterales,Asteranae,Dicot,Kleyer,annual,forb,19.83,0,80.17,R/CR,"@rgb(51,0,204)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Pulmonaria angustifolia L.,Boraginaceae,Boraginales,Asteranae,Dicot,Cerabolini/Pierce,perennial,forb,82.69,3.18,14.13,C,"@rgb(211,8,36)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Pulmonaria obscura Dumort.,Boraginaceae,Boraginales,Asteranae,Dicot,Kleyer,perennial,forb,57.59,0,42.41,CR,"@rgb(147,0,108)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Pulmonaria officinalis L.,Boraginaceae,Boraginales,Asteranae,Dicot,Cerabolini/Pierce,perennial,forb,56.56,0,43.44,CR,"@rgb(144,0,111)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Pulsatilla albana (Stev.) Bercht. & J. Presl,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Soudzilovskaia,perennial,forb,25.3,59.81,14.89,S/CSR,"@rgb(65,153,38)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
