Species,Species_gbif,Sample Number,Code,Collected,Ethanol,Dried,Scanned,Dried-2,Weighed,Weight_g,Stained,Mounted,mycorrhizal_colonization,coll_location,hair_length_raw,hair_density_raw,hair_factor
Iris missouriensis,Iris missouriensis,3,iri_mis_3,yes,yes,yes,yes,yes,yes,0.0073,yes,yes,65,field,0,0,0
Iris missouriensis,Iris missouriensis,4,iri_mis_4,yes,yes,yes,yes,yes,yes,0.0406,yes,yes,63,field,0,0,0
Iris missouriensis,Iris missouriensis,5,iri_mis_5,yes,yes,yes,yes,yes,yes,0.0289,yes,yes,47,field,0,0,0
Iris missouriensis,Iris missouriensis,6,iri_mis_6,yes,yes,yes,yes,yes,yes,0.0277,yes,yes,54,field,0,0,0
Iris missouriensis,Iris missouriensis,7,iri_mis_7,yes,yes,yes,yes,yes,yes,0.0063,yes,yes,59,field,0,0,0
Juncus inflexus,Juncus inflexus,1,jun_inf_1,yes,yes,yes,yes,yes,yes,0.0056,yes,yes,18,field,41,18,738
Juncus inflexus,Juncus inflexus,2,jun_inf_2,yes,yes,yes,yes,yes,yes,0.0011,yes,yes,0,field,83,32,2656
Juncus inflexus,Juncus inflexus,3,jun_inf_3,yes,yes,yes,yes,yes,yes,0.0107,yes,yes,11,field,44,8,352
Juncus inflexus,Juncus inflexus,4,jun_inf_4,yes,yes,yes,yes,yes,yes,0.0053,yes,yes,23,field,52,16,832
Juncus inflexus,Juncus inflexus,5,jun_inf_5,yes,yes,yes,yes,yes,yes,0.0108,yes,yes,4,field,67,18,1206
Linum perenne,Linum perenne,1,lin_per_1,yes,yes,yes,yes,yes,yes,0.0018,yes,yes,28,field,0,0,0
Linum perenne,Linum perenne,2,lin_per_2,yes,yes,yes,yes,yes,yes,0.0049,yes,yes,37,field,0,0,0
Linum perenne,Linum perenne,3,lin_per_3,yes,yes,yes,yes,yes,yes,0.0064,yes,yes,7,field,23,12,276
Linum perenne,Linum perenne,4,lin_per_4,yes,yes,yes,yes,yes,yes,0.0049,yes,yes,22,field,0,0,0
Linum perenne,Linum perenne,5,lin_per_5,yes,yes,yes,yes,yes,yes,0.0047,yes,yes,18,field,0,0,0
